battery_capacity_mah_,price,Url,battery_indicator_LED,battery_indicator_Digital Display,battery_indicator_Other,min_quantity,max_quantity
350.0,6.0,https://www.alibaba.com/product-detail/Best-Seller-T13-Gaming-Headset-V5_1601257044292.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
230.0,3.5,https://www.alibaba.com/product-detail/Wireless-Custom-Wireless-Earbuds-Type-C_1601199546235.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
200.0,4.2,https://www.alibaba.com/product-detail/New-Hot-YW14-TWS-Real-Anc_11000019926045.html?priceId=5f7d15e17d814e74997e1044f6469f24,1,0,0,,
400.0,5.8,https://www.alibaba.com/product-detail/Hot-Selling-TWS-Wireless-Earbuds-Wireless_11000018724361.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
400.0,5.8,https://www.alibaba.com/product-detail/T8-Wholesale-Headphone-In-Ear-ENC_11000018676506.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
400.0,6.5,https://www.alibaba.com/product-detail/S01-Wholesale-Tws-Earbuds-ENC-Enviroment_11000018674327.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
400.0,5.7,https://www.alibaba.com/product-detail/Factory-Wholesale-ENC-TWS-Earphones-Bluetooth_11000018667496.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
400.0,5.52,https://www.alibaba.com/product-detail/ANC-TWS-Earbuds-4-Microphones-LED_11000017398054.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
300.0,7.2,https://www.alibaba.com/product-detail/Fugle-JL001-3-OWS-In-Ear_11000016529320.html?priceId=1a90954a7fb9475f98c831b5ec0145be,0,1,0,,
480.0,8.4,https://www.alibaba.com/product-detail/FUGLE-D19-5-TWS-Wireless-Earbuds_11000015936991.html?priceId=1a90954a7fb9475f98c831b5ec0145be,0,1,0,,
200.0,6.22,https://www.alibaba.com/product-detail/J5-TWS-Earbuds-Wireless-HIFI-Stereo_11000013875232.html?priceId=1a90954a7fb9475f98c831b5ec0145be,0,1,0,,
200.0,7.55,https://www.alibaba.com/product-detail/J8-Pro-TWS-Wireless-Earbuds-Double_11000013822157.html?priceId=1a90954a7fb9475f98c831b5ec0145be,0,1,0,,
200.0,4.7,https://www.alibaba.com/product-detail/In-Ear-TWS-for-Bluetooth-Earbuds_11000007976518.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,1.88,https://www.alibaba.com/product-detail/895B-Trending-Waterproof-Wireless-Earbuds-New_11000002728730.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,2.55,https://www.alibaba.com/product-detail/In-Ear-TWS-for-5-4_10000038312858.html?priceId=1a90954a7fb9475f98c831b5ec0145be,0,1,0,,
200.0,13.75,https://www.alibaba.com/product-detail/TWS-Earbuds-Wireless-Stereo-In-Ear_10000038277576.html?priceId=1a90954a7fb9475f98c831b5ec0145be,0,1,0,,
380.0,2.15,https://www.alibaba.com/product-detail/YX32-Type-C-Buds-Earphones-Tws_10000037648420.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,9.5,https://www.alibaba.com/product-detail/K-68-TWS-Earbuds-Low-Latency_10000037637400.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
300.0,4.84,https://www.alibaba.com/product-detail/LINX-TWS-Earbuds-High-Bass-Sound_10000035457756.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
40.0,7.8,https://www.alibaba.com/product-detail/Most-Popular-AI-Translator-Earbuds-Business_10000033501026.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
30.0,2.96,https://www.alibaba.com/product-detail/Earbuds-TWS-Earphone-Intelligente-Touch-Control_10000031546165.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,4.27,https://www.alibaba.com/product-detail/Novelty-Design-TWS-Wireless-Earbuds-with_10000031230755.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,7.65,https://www.alibaba.com/product-detail/Prime-Design-TWS-Wireless-Earbuds-with_10000031217779.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,4.41,https://www.alibaba.com/product-detail/RGB-LED-TWS-Wireless-Earbuds-JL_10000031213842.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
200.0,4.55,https://www.alibaba.com/product-detail/TWS-Wireless-Earbuds-LED-Battery-New_10000031208874.html?priceId=1a90954a7fb9475f98c831b5ec0145be,1,0,0,,
