product_id,battery_capacity_mah_,headphone_form_factor,waterproof_standard,brand_name,volume_control,battery_indicator,charging_interface_type,chipset,codecs,game_atmosphere_light,material,private_mold,product_name,sound_quality,charging_time,control_method,wireless_delay_time,battery_charging_time
1601278877041,2AAA,In ear,IPX-5,EARMOR,120mm x 95mm x 118mm,LED,,EARMOR,,,ABS,Yes,Sports Shooting Bluetooth Earbuds,,,,,
11000027275821,200-500mah,,IPX-4,OEM,,LED,Type-C,JL,,,Plastic,Yes,,"Bass Boost, Stereo, Surround Sound",1-2 Hours,Touch Control,,
1601727180770,200-500mah,In ear,IPX-6,zuiqiangying,Yes,Digital Display,Type-C,Airoha,AAC,No Light,Plastic,Yes,,Stereo,,Button Control,,
11000025732594,200-500mah,In ear,IPX-5,Oforui,No,LED,Type-C,Blurtrum,LDAC,Single Color,Plastic,Yes,,High Fidelity (Hi-Fi),,Touch Control,,
1601725787666,350+30*2mAh,In ear,/,yesido,,,Type-C,Jieli 7003D4,,No Light,ABS,,ANC+ENC TWS Wireless Earphone,,,ANC/Transparency/Normal/Music/Gaming,,
11000024491003,5000ha,In ear,IPX-5,Realme,Yes,Digital Display,Type-C,Airoha,Apt-X HD,Single Color,abs,No,TWS Wireless Earbuds for iphone android,Stereo,1-3 hours,Touch Control,,
1601692341935,150mAh,In ear,IPX-4,,,LED,,AB5759,,,,,,,1-3 hours,"Touch Control, Voice Control",,
11000023062663,5000ha,In ear,IPX-5,Realme,Yes,Digital Display,Type-C,Airoha,APT-X,Single Color,abs,No,Buds 6 Active (Global Version),High Fidelity (Hi-Fi),About 1.5 Hours (earbuds) / 2 Hours (case),Touch Control,,
1601249386456,530mAh,,IPX-5,Custom/Kimmar,,LED,,Jieli,,,ABS,Yes,Ultra Long Life True Wireless HIFI In Ear Earbuds,,1-2 Hours,,,
11000020465226,85MAH,In ear,IPX-4,Geekfly,,LED,,Qualcomm,,,3D plastic resin,Yes,,,,,,
1601257044292,40/350mah,In ear,IPX-5,,,LED,,JL,,,ABS,Yes,T13 TWS Earphone,,,,,
11000020135036,Earbuds battery: 40mAh*2pcs,,IPX-5,Customized,,,,JL,,,ABS,Yes,,,,,,
1601199546235,230mAh,,IPX-3,Kimmar,,LED,,Jieli,,,ABS,No,,,,,,
11000019926045,200-500mah,In ear,IPX-2,,,LED,Type C,Bluetrum,,Single Color,,,New Hot YW14 TWS Real Anc ENC Earbuds Cheap Wireless Earphones,,1 hour,,,
1601392028168,,In ear,IPX-5,,Yes,LED,,JL,,RGB,Plastic,Yes,G07,,1-2 Hours,,,
11000018724361,400,,IPX-5,customized,,LED,,JL 6973D4,,,ABS,Yes,T8 Wireless Earphones,,,,,
11000018676506,400,,IPX-5,customized,,LED,,JL 6973D4,,,ABS,Yes,T8 wireless earphones green,,,,,
11000018674327,40/400mah,In ear,IPX-5,,,LED,,JL,,,ABS,,,,,,,
11000018667496,400,,IPX-5,customized,,LED,,JL 6973D4,,,ABS,Yes,T8 TWS EARPHONES,,,,,
11000017398054,400mah,,IPX-4,Shareez,,LED,Type-C,JL,AAC,No Light,ABS,Yes,ANC TWS Earbuds,"High Fidelity (Hi-Fi), Bass Boost, Surround Sound, Stereo",1-3 hours,Touch Control,,
