min_quantity,max_quantity,price
,,5.24
,,2.57
,,12.45
,,8.05
,,3.2
,,90.0
,,8.5
,,19.0
,,10.0
,,5.71
,,10.17
,,3.69
,,2.95
,,4.8
,,28.2
,,28.2
,,9.15
,,28.2
,,10.4
,,28.2
,,6.5
,,5.3
,,8.25
,,6.04
,,37.44
,,5.3
,,49.99
,,5.3
,,11.15
,,7.0
,,26.37
,,1.79
,,6.39
,,4.5
,,299.0
,,6.0
,,3.5
,,4.2
,,5.8
,,5.8
,,6.5
,,5.7
,,5.52
,,7.2
,,8.4
,,6.22
,,7.55
,,4.7
,,1.88
,,2.55
,,13.75
,,2.15
,,9.5
,,4.84
,,7.8
,,2.96
,,4.27
,,7.65
,,4.41
,,4.55
,,6.66
,,2.58
,,3.42
,,2.69
,,3.84
,,2.79
,,3.42
,,3.42
,,7.5
,,2.58
,,4.88
,,2.15
,,8.95
,,3.03
,,6.07
,,2.85
,,3.4
,,4.38
,,1.3
,,1.3
,,1.99
,,2.2
,,3.65
,,2.7
,,1.6
,,4.93
,,2.7
,,5.49
,,5.15
,,6.7
,,6.59
,,12.0
,,5.8
,,1.47
,,3.1
,,1.45
,,3.75
,,16.8
,,10.0
,,1.4
,,4.51
,,6.49
,,3.15
,,9.66
,,2.19
,,6.8
,,1.52
,,4.0
,,1.6
,,2.83
,,1.39
,,4.43
,,3.8
,,3.56
,,5.88
,,6.2
,,0.95
,,3.65
,,4.88
,,5.5
,,5.0
,,3.3
,,5.0
,,5.0
,,5.0
,,1.6
,,4.19
,,9.0
,,5.0
,,2.1
,,4.68
,,13.5
,,3.4
,,2.1
,,5.99
,,6.41
,,6.41
,,6.41
,,2.98
,,12.48
,,3.72
,,2.55
,,1.6
,,3.6
,,9.0
,,81.0
,,2.5
,,21.5
,,2.9
,,8.2
,,1.53
,,7.91
,,4.84
,,6.55
,,6.55
,,2.5
,,2.7
,,2.7
,,3.35
,,2.7
,,1.6
,,7.0
,,16.8
,,9.5
,,70.0
,,4.99
,,5.7
,,7.1
,,2.49
,,9.61
,,14.49
,,7.8
,,13.8
,,4.8
,,2.39
,,6.49
,,1.39
,,4.45
,,1.25
,,5.38
,,5.08
,,3.2
,,1.38
,,1.6
,,12.08
,,4.79
,,3.99
,,4.5
,,6.65
,,18.8
,,11.9
,,4.4
,,4.33
,,1.56
,,7.3
,,2.87
,,3.49
,,1.5
,,6.49
,,5.35
,,0.71
,,13.0
,,8.5
,,18.0
,,2.84
,,7.85
,,5.45
,,5.35
,,3.6
,,8.09
,,3.6
,,4.9
,,3.29
,,4.84
,,3.55
,,4.4
,,3.99
,,3.89
,,4.89
,,6.0
,,3.29
,,5.1
,,2.2
,,2.2
,,3.95
,,7.3
,,2.25
,,4.1
,,7.3
,,2.645
,,4.2
,,4.2
,,6.3
,,5.9
,,7.91
,,1.8
,,1.98
,,14.35
,,70.0
,,3.75
,,6.79
,,12.0
,,4.19
,,1.22
,,0.79
,,90.0
,,0.79
,,3.89
,,3.99
,,5.99
,,3.99
,,8.8
,,4.83
,,4.83
,,2.83
,,1.2
,,2.6
,,2.6
,,2.6
,,2.6
,,12.8
,,2.8
,,3.7
,,7.8
,,15.95
,,15.95
,,3.95
,,3.95
,,7.8
,,14.49
,,14.49
,,7.8
,,7.8
,,1.32
,,8.8
,,3.88
,,2.43
,,5.36
,,3.37
,,52.0
,,2.0
,,6.45
,,7.8
,,14.49
,,14.49
,,3.25
,,3.1
,,3.29
,,5.3
,,2.43
,,5.8
,,5.89
,,95.0
,,6.8
,,2.2
,,2.55
,,11.58
,,2.0
,,140.0
,,2.5
,,25.0
,,15.0
,,6.7
,,7.3
,,6.8
,,9.9
,,7.91
,,7.91
,,4.5
,,4.26
,,2.3
,,7.8
,,5.4
,,4.8
,,7.9
,,4.9
,,1.45
,,2.7
,,8.3
,,4.99
,,3.2
,,2.25
,,4.2
,,7.95
,,3.4
,,2.1
,,5.86
,,1.52
,,11.39
,,3.35
,,7.15
,,2.4
,,5.39
,,7.92
,,2.53
,,1.3
,,5.86
,,1.45
,,13.9
,,5.78
,,3.19
,,13.79
,,3.0
,,1.2
,,7.13
,,9.11
,,3.36
,,2.09
,,5.2
,,10.0
,,6.4
,,1.35
,,1.4
,,2.8
,,4.8
,,4.65
,,4.89
,,5.79
,,10.0
,,7.98
,,2.69
,,1.79
,,18.0
,,9.4
,,2.79
,,28.2
,,7.9
,,6.65
,,1.1
,,15.32
,,5.55
,,1.8
,,9.8
,,1.2
,,4.99
,,4.25
,,1.35
,,2.99
,,11.4
,,4.75
,,8.8
,,3.49
,,4.9
,,1.33
,,0.99
,,4.85
,,7.83
,,3.75
,,3.28
,,4.75
,,8.99
,,3.94
,,5.09
,,2.95
,,10.71
,,12.8
,,5.67
,,18.0
,,3.5
,,3.52
,,13.5
,,5.04
,,2.44
,,4.85
,,6.65
,,1.6
,,5.2
,,2.6
,,13.5
